                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5453,                 1.4974,                 1.8627,                 0.7877,                0.59291,                0.66175,                0.36762,                 1.5849,                 1.2955,                 1.9447,               0.006634,               0.006634,               0.006634
                     36,                 1.5355,                 1.4908,                 1.8493,                0.79088,                0.60173,                0.67029,                0.37511,                 1.5734,                 1.2766,                  1.922,               0.006535,               0.006535,               0.006535
                     37,                 1.5325,                 1.4742,                 1.8493,                0.77037,                0.59558,                0.66285,                0.37571,                 1.5686,                 1.2865,                 1.9305,               0.006436,               0.006436,               0.006436
                     38,                 1.5361,                 1.4748,                 1.8616,                0.79645,                0.60143,                0.67137,                0.37937,                 1.5671,                 1.2605,                 1.9181,               0.006337,               0.006337,               0.006337
                     39,                 1.5255,                 1.4647,                 1.8525,                0.80404,                0.60022,                0.67343,                0.38535,                 1.5431,                 1.2579,                 1.9128,               0.006238,               0.006238,               0.006238
                     40,                 1.5311,                 1.4544,                 1.8461,                0.79986,                0.60296,                0.67492,                0.38917,                 1.5533,                 1.2282,                 1.9042,               0.006139,               0.006139,               0.006139
                     41,                 1.5156,                  1.439,                 1.8241,                0.79304,                0.61636,                0.68185,                 0.3866,                 1.5499,                 1.2246,                 1.8998,                0.00604,                0.00604,                0.00604
                     42,                 1.5139,                 1.4208,                  1.824,                0.79571,                 0.6041,                0.67384,                0.38413,                  1.536,                 1.2328,                 1.8966,               0.005941,               0.005941,               0.005941
                     43,                  1.499,                 1.3962,                 1.8112,                0.82143,                0.60513,                0.68768,                 0.3927,                 1.5458,                 1.1965,                    1.9,               0.005842,               0.005842,               0.005842
                     44,                 1.5019,                 1.4096,                 1.8161,                0.80183,                 0.6114,                0.68373,                0.39425,                 1.5409,                 1.2101,                 1.8848,               0.005743,               0.005743,               0.005743
                     45,                 1.4916,                 1.3999,                  1.809,                0.80632,                0.62209,                0.69256,                0.39856,                  1.534,                 1.1872,                 1.8859,               0.005644,               0.005644,               0.005644
                     46,                 1.4832,                 1.3767,                  1.801,                0.80638,                0.62011,                0.69179,                0.39962,                 1.5348,                 1.1777,                 1.8866,               0.005545,               0.005545,               0.005545
                     47,                  1.487,                  1.379,                 1.7975,                0.80824,                0.61746,                0.69009,                0.40012,                 1.5163,                 1.1693,                 1.8663,               0.005446,               0.005446,               0.005446
                     48,                 1.4819,                 1.3611,                 1.7943,                0.81649,                0.62268,                  0.697,                0.40353,                 1.5118,                 1.1503,                 1.8631,               0.005347,               0.005347,               0.005347
                     49,                 1.4688,                 1.3359,                 1.7809,                0.80257,                 0.6293,                0.69719,                0.40304,                 1.5224,                 1.1439,                  1.864,               0.005248,               0.005248,               0.005248
                     50,                 1.4777,                 1.3512,                 1.7749,                0.81916,                 0.6232,                0.70093,                0.40722,                 1.5106,                 1.1405,                 1.8543,               0.005149,               0.005149,               0.005149
                     51,                 1.4712,                 1.3374,                 1.7753,                0.80297,                0.63277,                 0.7011,                 0.4091,                 1.5102,                 1.1356,                 1.8532,                0.00505,                0.00505,                0.00505
                     52,                 1.4569,                 1.3303,                 1.7639,                 0.8232,                0.63906,                0.70865,                 0.4134,                 1.5053,                 1.1233,                 1.8432,               0.004951,               0.004951,               0.004951
                     53,                 1.4495,                 1.3012,                 1.7512,                0.82597,                0.63113,                 0.7096,                0.41502,                 1.4949,                 1.1101,                 1.8362,               0.004852,               0.004852,               0.004852
                     54,                 1.4475,                 1.3078,                 1.7542,                0.83285,                0.62826,                0.70803,                0.41641,                 1.4931,                 1.1139,                 1.8344,               0.004753,               0.004753,               0.004753
                     55,                 1.4394,                 1.2933,                 1.7463,                0.82797,                0.63284,                0.70831,                0.41862,                 1.4933,                 1.0994,                 1.8317,               0.004654,               0.004654,               0.004654
                     56,                 1.4442,                  1.298,                 1.7531,                0.82987,                0.63134,                   0.71,                0.42116,                 1.4804,                 1.1065,                 1.8262,               0.004555,               0.004555,               0.004555
                     57,                 1.4299,                 1.2856,                 1.7355,                 0.8195,                0.64177,                0.71031,                0.42152,                  1.469,                 1.0964,                 1.8104,               0.004456,               0.004456,               0.004456
                     58,                 1.4145,                 1.2711,                 1.7203,                0.83181,                0.63298,                0.71395,                0.42454,                 1.4688,                 1.0872,                 1.8075,               0.004357,               0.004357,               0.004357
                     59,                 1.4233,                 1.2691,                 1.7248,                0.83255,                0.63352,                0.71514,                0.42576,                 1.4642,                 1.0794,                 1.8018,               0.004258,               0.004258,               0.004258
                     60,                 1.4249,                 1.2615,                 1.7253,                0.84479,                0.63118,                0.71586,                 0.4324,                 1.4467,                 1.0801,                 1.7961,               0.004159,               0.004159,               0.004159
                     61,                 1.4128,                 1.2545,                 1.7168,                0.82208,                0.64272,                0.71734,                0.43033,                  1.451,                 1.0672,                 1.7943,                0.00406,                0.00406,                0.00406
                     62,                 1.4038,                  1.242,                 1.7126,                0.84487,                0.63523,                0.72103,                0.43138,                 1.4653,                 1.0646,                 1.7985,               0.003961,               0.003961,               0.003961
                     63,                 1.3989,                 1.2331,                 1.7078,                  0.832,                0.64029,                 0.7187,                0.43063,                 1.4605,                 1.0615,                 1.8036,               0.003862,               0.003862,               0.003862
                     64,                 1.3989,                 1.2326,                 1.7047,                0.85174,                0.63256,                0.71879,                0.43136,                 1.4573,                 1.0644,                 1.7958,               0.003763,               0.003763,               0.003763
                     65,                 1.3935,                 1.2189,                 1.7028,                0.82316,                0.64927,                 0.7248,                0.43629,                 1.4394,                 1.0558,                  1.782,               0.003664,               0.003664,               0.003664
                     66,                 1.3909,                 1.2163,                 1.6992,                0.83682,                 0.6466,                0.72422,                0.43812,                 1.4462,                 1.0551,                 1.7846,               0.003565,               0.003565,               0.003565
                     67,                 1.3942,                 1.2163,                 1.6966,                0.84003,                0.65122,                   0.73,                0.43855,                 1.4431,                 1.0346,                 1.7858,               0.003466,               0.003466,               0.003466
                     68,                  1.365,                 1.1816,                 1.6737,                0.83494,                0.65629,                0.73023,                0.44005,                 1.4357,                 1.0309,                 1.7792,               0.003367,               0.003367,               0.003367
                     69,                 1.3701,                 1.1849,                 1.6735,                0.83289,                0.65715,                0.73146,                0.44023,                 1.4346,                 1.0256,                 1.7774,               0.003268,               0.003268,               0.003268
                     70,                 1.3698,                 1.1833,                 1.6702,                0.84031,                0.65523,                0.73383,                 0.4423,                 1.4349,                 1.0188,                 1.7721,               0.003169,               0.003169,               0.003169
                     71,                 1.3589,                 1.1561,                 1.6588,                0.85107,                 0.6512,                 0.7336,                  0.444,                 1.4342,                 1.0135,                 1.7637,                0.00307,                0.00307,                0.00307
                     72,                 1.3506,                 1.1641,                 1.6588,                0.84095,                0.65534,                 0.7335,                0.44396,                 1.4353,                 1.0181,                 1.7622,               0.002971,               0.002971,               0.002971
                     73,                 1.3581,                 1.1636,                 1.6563,                0.85409,                 0.6546,                0.73486,                0.44648,                 1.4335,                 1.0064,                 1.7618,               0.002872,               0.002872,               0.002872
