                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5358,                 1.4731,                 2.2983,                0.79525,                0.60239,                0.67259,                0.37252,                 1.5862,                 1.2619,                 2.4179,               0.006634,               0.006634,               0.006634
                     36,                   1.53,                 1.4671,                 2.2794,                 0.7967,                 0.6061,                0.67651,                0.37802,                 1.5909,                  1.249,                 2.3952,               0.006535,               0.006535,               0.006535
                     37,                 1.5283,                 1.4441,                 2.2799,                0.79976,                0.59404,                0.67213,                 0.3756,                 1.5937,                 1.2556,                 2.4091,               0.006436,               0.006436,               0.006436
                     38,                 1.5311,                 1.4574,                 2.2838,                0.81213,                0.59523,                0.67373,                0.37637,                 1.5857,                 1.2461,                 2.3818,               0.006337,               0.006337,               0.006337
                     39,                  1.517,                 1.4439,                  2.271,                0.78032,                0.60562,                0.67987,                0.38134,                 1.5775,                 1.2476,                 2.3793,               0.006238,               0.006238,               0.006238
                     40,                 1.5261,                 1.4364,                 2.2769,                0.78118,                0.61508,                0.67824,                0.38296,                 1.5745,                  1.216,                 2.3812,               0.006139,               0.006139,               0.006139
                     41,                  1.507,                 1.4176,                 2.2398,                0.79769,                0.61687,                 0.6866,                0.38534,                 1.5723,                 1.2038,                 2.3732,                0.00604,                0.00604,                0.00604
                     42,                 1.5013,                 1.3999,                 2.2408,                0.81873,                0.61305,                0.69097,                0.38714,                 1.5614,                 1.2038,                 2.3672,               0.005941,               0.005941,               0.005941
                     43,                 1.4953,                 1.3771,                 2.2269,                0.82289,                0.61256,                0.69116,                0.39259,                 1.5487,                 1.1852,                 2.3546,               0.005842,               0.005842,               0.005842
                     44,                 1.4932,                 1.3927,                 2.2372,                0.80109,                0.61771,                0.68813,                0.39206,                 1.5467,                 1.1879,                 2.3443,               0.005743,               0.005743,               0.005743
                     45,                 1.4869,                  1.375,                 2.2199,                0.82198,                0.61892,                0.69376,                0.40007,                 1.5285,                 1.1846,                 2.3225,               0.005644,               0.005644,               0.005644
                     46,                 1.4737,                 1.3558,                 2.2074,                0.81814,                0.62384,                0.69418,                0.40025,                 1.5388,                 1.1729,                 2.3236,               0.005545,               0.005545,               0.005545
                     47,                 1.4717,                 1.3561,                 2.1971,                0.80709,                0.61682,                 0.6897,                0.40168,                 1.5217,                 1.1572,                 2.3215,               0.005446,               0.005446,               0.005446
                     48,                 1.4665,                 1.3421,                 2.1962,                0.80833,                0.62232,                 0.6948,                0.40509,                 1.5231,                 1.1586,                 2.3196,               0.005347,               0.005347,               0.005347
                     49,                 1.4652,                 1.3209,                 2.1854,                0.82533,                0.61637,                0.69679,                0.40257,                 1.5326,                 1.1452,                 2.3256,               0.005248,               0.005248,               0.005248
                     50,                 1.4636,                 1.3361,                 2.1821,                0.81924,                0.63145,                0.70225,                0.40981,                 1.5157,                 1.1368,                 2.3014,               0.005149,               0.005149,               0.005149
                     51,                 1.4619,                 1.3219,                 2.1781,                0.82065,                0.62925,                0.70492,                0.41286,                 1.5201,                 1.1269,                 2.3077,                0.00505,                0.00505,                0.00505
                     52,                 1.4447,                 1.3144,                 2.1658,                0.83362,                 0.6338,                0.71069,                0.41468,                 1.5165,                 1.1172,                  2.298,               0.004951,               0.004951,               0.004951
                     53,                 1.4401,                  1.284,                 2.1505,                0.81297,                0.63875,                0.70952,                0.41466,                 1.5013,                 1.1084,                 2.2852,               0.004852,               0.004852,               0.004852
                     54,                 1.4344,                 1.2861,                 2.1488,                0.81644,                0.63731,                0.70909,                0.41694,                 1.4914,                 1.1125,                 2.2769,               0.004753,               0.004753,               0.004753
                     55,                 1.4302,                 1.2803,                  2.145,                0.82484,                0.64193,                0.71216,                0.41687,                  1.509,                 1.1009,                 2.2826,               0.004654,               0.004654,               0.004654
                     56,                 1.4279,                 1.2803,                 2.1436,                0.82475,                0.64254,                0.71528,                 0.4235,                 1.4891,                   1.09,                 2.2653,               0.004555,               0.004555,               0.004555
                     57,                 1.4259,                 1.2667,                 2.1332,                0.82985,                0.63472,                0.71384,                0.42285,                 1.4847,                 1.0844,                 2.2569,               0.004456,               0.004456,               0.004456
                     58,                 1.4116,                 1.2491,                 2.1179,                0.83737,                0.63583,                0.71585,                0.42516,                 1.4857,                 1.0759,                 2.2499,               0.004357,               0.004357,               0.004357
                     59,                 1.4142,                 1.2501,                 2.1169,                0.82227,                0.64719,                0.71912,                0.43029,                  1.472,                 1.0728,                 2.2453,               0.004258,               0.004258,               0.004258
                     60,                 1.4112,                 1.2482,                 2.1131,                0.83299,                0.64625,                0.72221,                0.43351,                 1.4669,                 1.0675,                 2.2375,               0.004159,               0.004159,               0.004159
                     61,                 1.4082,                  1.236,                 2.1003,                0.83488,                0.64824,                0.72384,                0.43076,                 1.4753,                 1.0575,                 2.2325,                0.00406,                0.00406,                0.00406
                     62,                 1.3963,                 1.2259,                 2.0957,                0.82495,                0.65066,                0.72548,                0.43436,                 1.4734,                 1.0543,                 2.2359,               0.003961,               0.003961,               0.003961
                     63,                 1.3898,                 1.2092,                  2.093,                0.83967,                0.64705,                0.72458,                0.43483,                 1.4679,                 1.0485,                 2.2289,               0.003862,               0.003862,               0.003862
                     64,                 1.3892,                  1.217,                 2.0896,                0.83328,                0.65501,                0.72718,                 0.4367,                 1.4702,                 1.0478,                 2.2334,               0.003763,               0.003763,               0.003763
                     65,                 1.3885,                 1.2047,                 2.0877,                0.84456,                0.65175,                0.73227,                0.44094,                 1.4605,                 1.0445,                 2.2179,               0.003664,               0.003664,               0.003664
                     66,                 1.3791,                 1.1932,                 2.0842,                 0.8351,                0.65543,                0.72739,                0.43845,                 1.4581,                 1.0444,                 2.2242,               0.003565,               0.003565,               0.003565
                     67,                 1.3834,                 1.1998,                  2.078,                0.83836,                0.65173,                0.72542,                0.44071,                 1.4573,                  1.037,                  2.222,               0.003466,               0.003466,               0.003466
                     68,                 1.3515,                 1.1721,                 2.0546,                0.82323,                0.66109,                0.72873,                0.44343,                 1.4492,                 1.0277,                 2.2119,               0.003367,               0.003367,               0.003367
                     69,                 1.3572,                 1.1669,                 2.0497,                0.83905,                0.65769,                 0.7323,                0.44659,                 1.4439,                  1.018,                 2.2004,               0.003268,               0.003268,               0.003268
                     70,                 1.3574,                 1.1702,                 2.0477,                0.83939,                0.65506,                0.73107,                0.44493,                 1.4461,                 1.0193,                 2.1992,               0.003169,               0.003169,               0.003169
                     71,                  1.343,                 1.1477,                 2.0354,                0.84691,                0.65151,                0.73308,                0.44746,                 1.4409,                 1.0154,                 2.1942,                0.00307,                0.00307,                0.00307
                     72,                 1.3386,                 1.1551,                 2.0368,                0.83699,                0.65885,                0.73514,                0.44853,                 1.4427,                 1.0172,                 2.1926,               0.002971,               0.002971,               0.002971
                     73,                 1.3488,                 1.1542,                 2.0377,                0.84935,                0.65812,                0.73834,                0.45025,                 1.4407,                  1.006,                 2.1934,               0.002872,               0.002872,               0.002872
                     74,                 1.3405,                 1.1545,                 2.0344,                0.85343,                0.66156,                0.73968,                0.45163,                 1.4381,                 1.0059,                  2.187,               0.002773,               0.002773,               0.002773
                     75,                 1.3402,                 1.1444,                 2.0276,                0.85471,                0.66098,                0.74206,                0.45205,                 1.4371,                0.99294,                 2.1894,               0.002674,               0.002674,               0.002674
                     76,                 1.3264,                 1.1256,                 2.0049,                0.84511,                0.66295,                  0.742,                0.45435,                 1.4311,                0.98582,                  2.179,               0.002575,               0.002575,               0.002575
                     77,                 1.3156,                  1.107,                 2.0114,                0.84881,                  0.665,                0.74176,                0.45654,                  1.422,                0.98686,                 2.1708,               0.002476,               0.002476,               0.002476
                     78,                 1.3234,                 1.1157,                 2.0105,                0.85966,                0.66222,                0.74186,                0.45582,                 1.4264,                0.98791,                  2.178,               0.002377,               0.002377,               0.002377
                     79,                 1.3174,                 1.1088,                 1.9924,                0.85659,                0.66233,                0.74324,                0.45582,                 1.4293,                0.98466,                  2.176,               0.002278,               0.002278,               0.002278
                     80,                 1.3096,                 1.1035,                  1.994,                0.85551,                0.66325,                0.74252,                0.45803,                 1.4219,                0.98079,                 2.1658,               0.002179,               0.002179,               0.002179
                     81,                  1.298,                 1.0981,                 1.9859,                0.86247,                0.66765,                0.74673,                0.46044,                 1.4193,                0.97699,                 2.1667,                0.00208,                0.00208,                0.00208
                     82,                 1.2941,                  1.095,                 1.9776,                0.86586,                0.66476,                0.74755,                0.45946,                 1.4224,                0.97519,                 2.1654,               0.001981,               0.001981,               0.001981
                     83,                 1.2939,                 1.0936,                 1.9758,                0.87041,                0.66479,                0.74658,                0.45971,                   1.42,                0.97823,                 2.1638,               0.001882,               0.001882,               0.001882
                     84,                 1.2973,                 1.0888,                 1.9837,                0.86347,                0.66579,                0.74657,                0.46306,                 1.4115,                0.97313,                 2.1561,               0.001783,               0.001783,               0.001783
                     85,                 1.2784,                 1.0636,                 1.9626,                0.86528,                0.66786,                0.74956,                0.46464,                 1.4096,                0.96704,                 2.1523,               0.001684,               0.001684,               0.001684
                     86,                  1.273,                  1.062,                  1.956,                 0.8659,                0.67029,                0.75006,                0.46338,                  1.409,                0.96309,                 2.1527,               0.001585,               0.001585,               0.001585
                     87,                 1.2798,                 1.0762,                 1.9619,                0.86932,                0.66794,                0.75053,                0.46381,                 1.4082,                0.96167,                 2.1524,               0.001486,               0.001486,               0.001486
                     88,                 1.2707,                 1.0637,                 1.9497,                0.85786,                0.67625,                0.75146,                0.46456,                 1.4063,                0.95725,                 2.1489,               0.001387,               0.001387,               0.001387
                     89,                 1.2764,                 1.0619,                 1.9586,                0.85993,                0.67721,                0.75044,                0.46516,                 1.4069,                0.95596,                 2.1474,               0.001288,               0.001288,               0.001288
                     90,                 1.2667,                 1.0478,                 1.9434,                0.86514,                0.67708,                0.75292,                0.46683,                 1.4023,                0.94958,                 2.1427,               0.001189,               0.001189,               0.001189
                     91,                 1.2344,                0.92556,                 1.9825,                0.86871,                0.67751,                0.75304,                 0.4678,                 1.3996,                0.94901,                 2.1386,                0.00109,                0.00109,                0.00109
                     92,                 1.2161,                0.90971,                 1.9675,                0.86812,                0.67345,                0.75024,                0.46678,                 1.4006,                0.94862,                 2.1404,               0.000991,               0.000991,               0.000991
                     93,                 1.1992,                0.89346,                 1.9537,                0.85356,                0.68173,                0.75088,                0.46738,                 1.3985,                0.94755,                   2.14,               0.000892,               0.000892,               0.000892
                     94,                  1.194,                0.88687,                 1.9498,                0.85676,                0.68197,                0.75078,                 0.4689,                 1.3983,                0.94757,                 2.1408,               0.000793,               0.000793,               0.000793
                     95,                 1.1813,                0.87571,                 1.9303,                0.85678,                0.68252,                0.75268,                0.46864,                 1.3957,                0.94699,                 2.1381,               0.000694,               0.000694,               0.000694
                     96,                 1.1687,                0.86512,                 1.9224,                0.86462,                0.67986,                0.75424,                0.47036,                 1.3927,                0.94401,                 2.1368,               0.000595,               0.000595,               0.000595
                     97,                 1.1637,                0.85702,                 1.9099,                0.85875,                0.67979,                 0.7548,                0.47113,                 1.3919,                0.93994,                 2.1338,               0.000496,               0.000496,               0.000496
                     98,                 1.1536,                0.85285,                 1.9069,                0.85082,                0.68525,                0.75398,                0.47133,                 1.3887,                0.93822,                 2.1314,               0.000397,               0.000397,               0.000397
                     99,                 1.1539,                0.85351,                 1.9143,                0.85574,                 0.6831,                0.75407,                0.47233,                 1.3873,                0.93655,                 2.1308,               0.000298,               0.000298,               0.000298
                    100,                 1.1527,                0.85478,                 1.9067,                 0.8546,                0.68391,                0.75522,                0.47276,                 1.3857,                0.93569,                 2.1291,               0.000199,               0.000199,               0.000199
