                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6251,                 2.1091,                 2.9472,                0.61853,                0.49749,                0.51466,                0.26054,                 1.6282,                 1.9381,                 3.1691,               0.008878,               0.008878,               0.008878
                     36,                  1.623,                 2.1041,                 2.9429,                0.62694,                0.50682,                0.52718,                0.26803,                 1.6081,                 1.8955,                  3.147,               0.008845,               0.008845,               0.008845
                     37,                  1.617,                 2.0786,                 2.9424,                0.63689,                0.51216,                0.53548,                0.27183,                 1.6095,                 1.8933,                 3.1423,               0.008812,               0.008812,               0.008812
                     38,                 1.6014,                 2.0648,                 2.9321,                0.63294,                0.50738,                0.53246,                0.27191,                 1.6013,                 1.8862,                 3.1462,               0.008779,               0.008779,               0.008779
                     39,                 1.5879,                 2.0538,                  2.898,                0.60525,                0.51197,                 0.5213,                0.26671,                 1.5967,                 1.8901,                 3.1355,               0.008746,               0.008746,               0.008746
                     40,                 1.5898,                  2.056,                 2.9003,                0.58416,                0.50528,                0.50925,                 0.2623,                 1.5982,                 1.8967,                 3.1163,               0.008713,               0.008713,               0.008713
                     41,                 1.5829,                 2.0274,                 2.9076,                0.62117,                0.51478,                0.52506,                0.26941,                 1.5906,                 1.8737,                 3.1286,                0.00868,                0.00868,                0.00868
                     42,                 1.5985,                 2.0336,                 2.9214,                0.62994,                0.52491,                0.55097,                0.28146,                 1.5838,                 1.8664,                  3.111,               0.008647,               0.008647,               0.008647
                     43,                 1.5736,                 2.0177,                 2.8948,                0.64613,                0.51357,                0.54216,                0.27801,                 1.5915,                  1.862,                 3.1039,               0.008614,               0.008614,               0.008614
                     44,                 1.5859,                 2.0139,                 2.9003,                0.64616,                 0.5333,                0.54843,                0.28266,                 1.5861,                 1.8373,                 3.1147,               0.008581,               0.008581,               0.008581
                     45,                 1.5814,                 2.0137,                 2.8926,                 0.6051,                0.51363,                0.52113,                0.26999,                 1.5774,                 1.8565,                 3.0886,               0.008548,               0.008548,               0.008548
                     46,                 1.5727,                 2.0032,                 2.8849,                0.64866,                0.51592,                0.54511,                0.28259,                 1.5833,                 1.8422,                 3.0884,               0.008515,               0.008515,               0.008515
                     47,                 1.5719,                 1.9797,                 2.8808,                0.66611,                0.52801,                0.55806,                0.29194,                 1.5753,                 1.8168,                 3.0917,               0.008482,               0.008482,               0.008482
                     48,                 1.5665,                 1.9855,                 2.8809,                0.65398,                0.52967,                0.56141,                0.29146,                 1.5671,                 1.8217,                 3.0853,               0.008449,               0.008449,               0.008449
                     49,                 1.5615,                 1.9866,                 2.8663,                 0.6702,                0.54349,                0.56947,                0.29264,                 1.5635,                 1.8055,                 3.0617,               0.008416,               0.008416,               0.008416
                     50,                 1.5605,                  1.978,                  2.875,                0.67171,                0.53803,                0.57257,                0.29683,                 1.5626,                 1.7977,                 3.0746,               0.008383,               0.008383,               0.008383
                     51,                 1.5517,                 1.9634,                 2.8589,                0.67961,                0.54747,                 0.5731,                0.30092,                 1.5482,                 1.7932,                 3.0593,                0.00835,                0.00835,                0.00835
                     52,                 1.5555,                 1.9775,                 2.8746,                0.67224,                0.53588,                0.56693,                0.29529,                 1.5467,                 1.8094,                 3.0542,               0.008317,               0.008317,               0.008317
                     53,                 1.5558,                 1.9755,                 2.8721,                0.69111,                  0.555,                0.58057,                0.30276,                 1.5604,                 1.7889,                 3.0633,               0.008284,               0.008284,               0.008284
                     54,                 1.5582,                 1.9564,                 2.8659,                0.66859,                0.55918,                 0.5823,                0.30341,                 1.5395,                 1.7602,                 3.0378,               0.008251,               0.008251,               0.008251
                     55,                 1.5465,                 1.9454,                 2.8611,                0.67924,                0.55016,                0.57898,                0.30344,                 1.5312,                 1.7549,                 3.0505,               0.008218,               0.008218,               0.008218
                     56,                 1.5428,                 1.9502,                 2.8468,                0.68065,                0.55649,                0.58449,                0.30735,                 1.5359,                 1.7517,                 3.0389,               0.008185,               0.008185,               0.008185
                     57,                 1.5327,                  1.929,                  2.836,                0.67858,                0.55317,                 0.5826,                0.30397,                 1.5348,                 1.7571,                 3.0365,               0.008152,               0.008152,               0.008152
                     58,                 1.5275,                 1.9197,                 2.8481,                0.69122,                0.55484,                0.59155,                0.31189,                 1.5351,                 1.7211,                 3.0276,               0.008119,               0.008119,               0.008119
                     59,                 1.5402,                 1.9303,                 2.8478,                0.68203,                0.55611,                 0.5871,                0.31395,                 1.5255,                 1.7244,                 3.0142,               0.008086,               0.008086,               0.008086
                     60,                 1.5408,                 1.9313,                 2.8457,                0.68929,                0.55882,                0.59015,                0.31843,                 1.5167,                 1.7185,                 3.0018,               0.008053,               0.008053,               0.008053
                     61,                 1.5401,                  1.923,                 2.8465,                0.69666,                0.55711,                0.59456,                0.32085,                 1.5155,                 1.7042,                 2.9954,                0.00802,                0.00802,                0.00802
                     62,                 1.5263,                 1.9085,                  2.831,                 0.7198,                0.55937,                0.59564,                0.32147,                 1.5187,                 1.7094,                 3.0016,               0.007987,               0.007987,               0.007987
                     63,                  1.509,                 1.8938,                 2.8165,                0.69509,                0.56353,                0.59486,                 0.3193,                 1.5084,                 1.6845,                 2.9975,               0.007954,               0.007954,               0.007954
                     64,                 1.5137,                 1.9152,                  2.818,                0.70444,                0.55136,                0.60042,                0.32619,                 1.5014,                 1.6819,                 2.9839,               0.007921,               0.007921,               0.007921
                     65,                 1.5164,                  1.881,                 2.8125,                0.70673,                0.55937,                0.59908,                0.32332,                 1.5101,                 1.6776,                 2.9885,               0.007888,               0.007888,               0.007888
                     66,                 1.5176,                 1.9023,                 2.8235,                0.71599,                0.55294,                0.60141,                0.32976,                 1.4882,                 1.6686,                 2.9659,               0.007855,               0.007855,               0.007855
                     67,                 1.5215,                 1.8904,                 2.8242,                0.73651,                0.55356,                0.60923,                0.33337,                 1.4857,                 1.6603,                 2.9609,               0.007822,               0.007822,               0.007822
                     68,                 1.5108,                 1.8724,                  2.808,                0.72854,                0.56006,                0.61057,                0.33241,                 1.4956,                 1.6528,                  2.965,               0.007789,               0.007789,               0.007789
                     69,                 1.5044,                 1.8525,                  2.809,                0.72578,                0.56063,                 0.6138,                0.33429,                 1.4902,                 1.6345,                 2.9647,               0.007756,               0.007756,               0.007756
                     70,                 1.5214,                 1.9069,                 2.8144,                0.72485,                0.55914,                0.61104,                0.33464,                 1.4858,                 1.6368,                 2.9629,               0.007723,               0.007723,               0.007723
                     71,                 1.5129,                 1.8832,                 2.8101,                0.71266,                0.57031,                0.60675,                0.33342,                 1.4834,                 1.6504,                 2.9512,                0.00769,                0.00769,                0.00769
                     72,                 1.5076,                 1.8653,                 2.8171,                0.71949,                0.56061,                0.61166,                 0.3344,                 1.4811,                 1.6349,                 2.9463,               0.007657,               0.007657,               0.007657
                     73,                 1.5095,                 1.8628,                 2.8088,                0.72326,                0.56291,                0.61501,                0.33891,                 1.4781,                 1.6394,                 2.9384,               0.007624,               0.007624,               0.007624
                     74,                 1.5128,                 1.8655,                 2.8188,                0.71866,                0.56504,                0.61282,                0.33935,                  1.478,                 1.6249,                 2.9396,               0.007591,               0.007591,               0.007591
                     75,                 1.4905,                 1.8545,                 2.8008,                0.72235,                0.56787,                0.61682,                0.33922,                 1.4829,                 1.6259,                 2.9504,               0.007558,               0.007558,               0.007558
                     76,                 1.5048,                 1.8356,                  2.801,                0.72395,                 0.5573,                0.61364,                0.33987,                 1.4684,                 1.6017,                 2.9321,               0.007525,               0.007525,               0.007525
                     77,                 1.4988,                 1.8393,                 2.7948,                 0.7294,                0.56815,                0.61441,                0.34128,                 1.4657,                 1.6052,                 2.9324,               0.007492,               0.007492,               0.007492
                     78,                 1.4976,                 1.8379,                 2.7923,                0.73173,                0.56273,                0.61792,                0.34425,                 1.4609,                 1.6141,                 2.9218,               0.007459,               0.007459,               0.007459
                     79,                  1.502,                 1.8518,                 2.8025,                0.72849,                0.56258,                0.62135,                0.34644,                  1.462,                 1.6038,                 2.9194,               0.007426,               0.007426,               0.007426
                     80,                 1.4915,                 1.7989,                 2.7892,                0.74626,                0.56493,                0.62148,                0.34679,                  1.462,                 1.5933,                   2.92,               0.007393,               0.007393,               0.007393
                     81,                  1.488,                 1.8313,                 2.7963,                0.73304,                0.56295,                 0.6181,                0.34634,                 1.4592,                 1.5976,                 2.9208,                0.00736,                0.00736,                0.00736
                     82,                  1.491,                 1.8309,                 2.7653,                0.72035,                0.56975,                0.62137,                0.34647,                 1.4643,                 1.5946,                 2.9268,               0.007327,               0.007327,               0.007327
                     83,                  1.484,                 1.8279,                 2.7799,                 0.7427,                0.56105,                0.62197,                0.34727,                 1.4525,                  1.591,                 2.9144,               0.007294,               0.007294,               0.007294
                     84,                 1.4868,                 1.8216,                 2.7773,                0.73818,                0.56817,                0.62395,                0.34918,                 1.4561,                 1.5795,                 2.9177,               0.007261,               0.007261,               0.007261
                     85,                 1.4972,                 1.8178,                 2.7785,                0.73098,                0.57241,                0.62357,                0.35079,                 1.4526,                 1.5797,                   2.91,               0.007228,               0.007228,               0.007228
                     86,                 1.4758,                 1.8097,                 2.7618,                0.73773,                0.57069,                0.62474,                0.35272,                 1.4451,                 1.5681,                 2.9026,               0.007195,               0.007195,               0.007195
                     87,                 1.4689,                 1.7999,                 2.7615,                 0.7555,                0.56725,                0.62699,                0.35299,                 1.4446,                 1.5601,                 2.8988,               0.007162,               0.007162,               0.007162
                     88,                 1.4788,                 1.7849,                 2.7679,                0.74142,                0.57087,                0.62829,                0.35536,                 1.4364,                 1.5596,                 2.8876,               0.007129,               0.007129,               0.007129
                     89,                 1.4544,                  1.763,                 2.7428,                0.74872,                0.57029,                0.62921,                0.35588,                 1.4379,                 1.5459,                 2.8944,               0.007096,               0.007096,               0.007096
                     90,                 1.4749,                 1.7893,                 2.7707,                 0.7594,                0.56877,                 0.6315,                0.35692,                  1.442,                 1.5389,                 2.8949,               0.007063,               0.007063,               0.007063
                     91,                 1.4584,                 1.7647,                 2.7395,                0.76636,                0.56838,                0.63173,                0.35805,                 1.4353,                  1.533,                 2.8885,                0.00703,                0.00703,                0.00703
                     92,                  1.468,                 1.7896,                 2.7639,                0.75187,                0.57027,                0.63073,                0.35844,                 1.4352,                 1.5282,                 2.8865,               0.006997,               0.006997,               0.006997
                     93,                 1.4755,                 1.7827,                 2.7772,                0.75273,                0.57181,                0.62953,                0.35979,                 1.4292,                 1.5155,                 2.8786,               0.006964,               0.006964,               0.006964
                     94,                 1.4561,                 1.7635,                 2.7418,                0.75404,                0.57506,                0.63113,                0.36024,                  1.427,                 1.5173,                 2.8789,               0.006931,               0.006931,               0.006931
                     95,                 1.4556,                 1.7803,                 2.7472,                0.75748,                 0.5786,                0.63365,                0.36182,                 1.4277,                  1.519,                 2.8799,               0.006898,               0.006898,               0.006898
                     96,                 1.4528,                 1.7596,                 2.7473,                0.75885,                0.57792,                0.63593,                0.36399,                 1.4227,                 1.5115,                 2.8752,               0.006865,               0.006865,               0.006865
                     97,                  1.465,                  1.777,                 2.7492,                0.75652,                0.57625,                0.63584,                 0.3632,                 1.4254,                  1.502,                 2.8742,               0.006832,               0.006832,               0.006832
                     98,                 1.4598,                 1.7545,                 2.7522,                0.76376,                 0.5713,                0.63627,                0.36254,                  1.426,                 1.5023,                 2.8748,               0.006799,               0.006799,               0.006799
                     99,                 1.4531,                  1.742,                 2.7506,                 0.7623,                 0.5768,                0.63893,                0.36483,                 1.4258,                 1.4947,                 2.8744,               0.006766,               0.006766,               0.006766
                    100,                 1.4547,                 1.7513,                 2.7354,                0.77056,                0.57013,                 0.6395,                0.36441,                 1.4255,                 1.4883,                 2.8744,               0.006733,               0.006733,               0.006733
                    101,                 1.4416,                 1.7351,                 2.7428,                0.77166,                0.57087,                0.64053,                0.36676,                 1.4218,                 1.4825,                 2.8674,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.4582,                 1.7406,                  2.754,                0.75284,                0.58473,                0.64274,                0.36742,                 1.4181,                 1.4796,                 2.8651,               0.006667,               0.006667,               0.006667
                    103,                 1.4475,                 1.7456,                 2.7344,                0.75483,                0.58383,                 0.6427,                0.36927,                 1.4159,                 1.4769,                  2.861,               0.006634,               0.006634,               0.006634
                    104,                 1.4428,                  1.724,                 2.7378,                0.75507,                0.58482,                0.64459,                0.36889,                 1.4129,                 1.4718,                 2.8567,               0.006601,               0.006601,               0.006601
                    105,                  1.454,                 1.7248,                 2.7424,                0.77315,                0.57968,                0.64429,                0.36939,                 1.4149,                 1.4683,                 2.8591,               0.006568,               0.006568,               0.006568
                    106,                 1.4351,                  1.728,                 2.7216,                0.77515,                0.57902,                0.64522,                0.37005,                 1.4114,                 1.4658,                 2.8559,               0.006535,               0.006535,               0.006535
                    107,                 1.4459,                 1.7184,                 2.7401,                0.78232,                0.57745,                0.64555,                 0.3712,                 1.4089,                 1.4591,                 2.8516,               0.006502,               0.006502,               0.006502
                    108,                 1.4497,                 1.7268,                 2.7311,                0.76532,                0.58592,                0.64419,                0.37171,                 1.4065,                 1.4531,                 2.8473,               0.006469,               0.006469,               0.006469
                    109,                  1.425,                  1.688,                 2.7097,                0.76673,                0.58781,                 0.6458,                0.37116,                 1.4063,                 1.4488,                 2.8476,               0.006436,               0.006436,               0.006436
                    110,                 1.4387,                 1.7077,                 2.7296,                0.76845,                0.58479,                0.64644,                0.37387,                  1.405,                 1.4455,                 2.8462,               0.006403,               0.006403,               0.006403
                    111,                 1.4253,                 1.6862,                 2.7194,                0.77819,                0.58204,                0.64673,                0.37439,                 1.4036,                 1.4426,                 2.8447,                0.00637,                0.00637,                0.00637
                    112,                 1.4419,                 1.7222,                 2.7303,                0.78565,                0.58229,                0.64801,                0.37609,                 1.4045,                 1.4385,                 2.8442,               0.006337,               0.006337,               0.006337
                    113,                 1.4419,                  1.715,                 2.7306,                0.78775,                0.57996,                0.64849,                0.37537,                 1.4024,                  1.435,                 2.8427,               0.006304,               0.006304,               0.006304
                    114,                 1.4272,                 1.6884,                 2.7085,                0.77989,                0.58231,                 0.6484,                0.37608,                 1.3984,                 1.4307,                 2.8392,               0.006271,               0.006271,               0.006271
                    115,                 1.4254,                 1.6902,                 2.7016,                 0.7772,                0.58585,                0.64999,                0.37749,                 1.3988,                 1.4264,                 2.8379,               0.006238,               0.006238,               0.006238
                    116,                 1.4282,                 1.6883,                 2.7175,                0.77303,                0.58857,                0.65136,                0.37862,                 1.3971,                 1.4222,                 2.8367,               0.006205,               0.006205,               0.006205
