                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5419,                 1.5074,                 1.8562,                0.76322,                0.58442,                0.64921,                0.35775,                 1.6242,                 1.3207,                 1.9768,              0.0075698,              0.0075698,              0.0075698
                     35,                 1.5461,                 1.4921,                 1.8482,                0.78403,                0.57497,                0.65497,                0.36524,                 1.5796,                 1.2894,                 1.9258,              0.0074347,              0.0074347,              0.0074347
                     36,                 1.5297,                 1.4836,                 1.8322,                0.76516,                0.60066,                 0.6664,                0.37074,                 1.5779,                 1.2801,                 1.9266,              0.0072973,              0.0072973,              0.0072973
                     37,                 1.5277,                 1.4594,                 1.8314,                0.78314,                 0.5994,                 0.6716,                0.37596,                 1.5806,                 1.2581,                  1.919,              0.0071576,              0.0071576,              0.0071576
                     38,                 1.5323,                 1.4607,                 1.8374,                0.77978,                0.60523,                0.66737,                0.37455,                 1.5727,                 1.2608,                 1.9152,              0.0070159,              0.0070159,              0.0070159
                     39,                 1.5208,                 1.4428,                 1.8287,                0.79229,                0.58763,                0.67043,                0.38208,                 1.5561,                 1.2566,                 1.9022,              0.0068722,              0.0068722,              0.0068722
                     40,                 1.5244,                 1.4441,                 1.8327,                0.77941,                0.60702,                 0.6755,                0.38388,                 1.5642,                 1.2376,                 1.9143,              0.0067268,              0.0067268,              0.0067268
                     41,                 1.5079,                 1.4234,                 1.8007,                0.79168,                0.59849,                0.67671,                0.38205,                 1.5739,                 1.2133,                 1.9061,              0.0065796,              0.0065796,              0.0065796
                     42,                 1.4996,                 1.4008,                 1.7942,                0.80042,                0.59867,                 0.6806,                 0.3874,                 1.5365,                 1.2238,                 1.8884,               0.006431,               0.006431,               0.006431
                     43,                 1.4855,                  1.377,                 1.7856,                0.80098,                0.60905,                 0.6854,                0.39111,                 1.5514,                 1.1953,                 1.8878,               0.006281,               0.006281,               0.006281
                     44,                 1.4917,                 1.3895,                 1.7944,                 0.7872,                0.60785,                0.68108,                 0.3901,                 1.5398,                 1.1969,                 1.8702,              0.0061298,              0.0061298,              0.0061298
                     45,                 1.4858,                 1.3758,                 1.7801,                0.78868,                0.62205,                 0.6919,                0.39552,                 1.5373,                 1.1976,                  1.874,              0.0059775,              0.0059775,              0.0059775
                     46,                 1.4728,                 1.3528,                 1.7683,                0.79362,                0.61032,                0.68664,                0.39713,                 1.5296,                 1.1786,                 1.8616,              0.0058244,              0.0058244,              0.0058244
                     47,                 1.4723,                 1.3519,                 1.7648,                0.79928,                0.62478,                0.69499,                0.40234,                 1.5335,                 1.1651,                 1.8647,              0.0056704,              0.0056704,              0.0056704
                     48,                 1.4709,                 1.3422,                 1.7587,                0.79971,                0.62734,                0.69871,                0.40397,                 1.5217,                 1.1549,                 1.8454,              0.0055158,              0.0055158,              0.0055158
                     49,                 1.4612,                 1.3126,                 1.7535,                0.80057,                0.63001,                0.69817,                0.40636,                 1.5217,                 1.1355,                 1.8507,              0.0053608,              0.0053608,              0.0053608
                     50,                 1.4642,                 1.3321,                 1.7495,                0.80816,                0.61754,                0.69394,                0.40831,                 1.5016,                 1.1467,                 1.8246,              0.0052055,              0.0052055,              0.0052055
                     51,                 1.4519,                 1.3173,                 1.7415,                0.82286,                0.62405,                0.70408,                0.40887,                 1.5119,                 1.1312,                 1.8411,                0.00505,                0.00505,                0.00505
                     52,                 1.4408,                 1.3007,                 1.7323,                0.82606,                0.62917,                0.70626,                0.41109,                 1.5132,                  1.126,                 1.8384,              0.0048945,              0.0048945,              0.0048945
                     53,                 1.4319,                 1.2759,                 1.7228,                0.82115,                0.62572,                0.70601,                0.41212,                 1.5008,                  1.113,                 1.8295,              0.0047392,              0.0047392,              0.0047392
