                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6031,                 1.3055,                 1.6646,                0.61572,                0.50419,                0.52652,                0.26974,                 1.6195,                 1.2049,                 1.7979,               0.008878,               0.008878,               0.008878
                     36,                 1.6005,                  1.307,                 1.6556,                0.61891,                0.52313,                0.53932,                0.27497,                 1.6269,                 1.1935,                 1.7916,               0.008845,               0.008845,               0.008845
                     37,                 1.5897,                 1.2914,                 1.6548,                0.64766,                 0.5368,                0.54997,                0.27659,                 1.6313,                 1.2043,                 1.8021,               0.008812,               0.008812,               0.008812
                     38,                 1.5971,                    1.3,                 1.6638,                0.61254,                0.52663,                0.53471,                0.27214,                 1.6133,                 1.1914,                 1.7914,               0.008779,               0.008779,               0.008779
                     39,                 1.5997,                 1.2965,                 1.6587,                0.65865,                0.52445,                0.55196,                0.28095,                 1.6043,                 1.1939,                 1.7824,               0.008746,               0.008746,               0.008746
                     40,                 1.5922,                 1.2932,                 1.6584,                0.64055,                0.52292,                0.53929,                0.27779,                  1.599,                 1.1686,                 1.7772,               0.008713,               0.008713,               0.008713
                     41,                 1.5752,                 1.2695,                 1.6457,                0.66524,                0.53364,                0.56316,                 0.2862,                 1.5895,                 1.1589,                 1.7716,                0.00868,                0.00868,                0.00868
                     42,                 1.5875,                 1.2673,                  1.645,                 0.6611,                0.53938,                 0.5646,                0.28821,                 1.5838,                 1.1646,                 1.7596,               0.008647,               0.008647,               0.008647
                     43,                 1.5626,                 1.2461,                 1.6384,                0.64471,                0.53248,                0.55649,                0.28579,                 1.6055,                 1.1478,                 1.7837,               0.008614,               0.008614,               0.008614
                     44,                 1.5756,                 1.2663,                 1.6491,                0.67243,                0.54472,                0.57262,                0.29285,                 1.5807,                 1.1511,                 1.7614,               0.008581,               0.008581,               0.008581
                     45,                  1.567,                 1.2644,                 1.6405,                0.68101,                0.52073,                0.56506,                0.29555,                 1.5668,                 1.1581,                 1.7513,               0.008548,               0.008548,               0.008548
                     46,                 1.5597,                   1.25,                 1.6368,                0.67874,                0.52597,                 0.5732,                0.29892,                 1.5731,                 1.1424,                  1.747,               0.008515,               0.008515,               0.008515
                     47,                 1.5681,                 1.2556,                 1.6387,                0.68138,                0.54351,                0.57105,                 0.2988,                 1.5783,                 1.1482,                 1.7569,               0.008482,               0.008482,               0.008482
                     48,                 1.5629,                 1.2509,                 1.6372,                0.69082,                0.53558,                0.57574,                0.30229,                 1.5616,                 1.1142,                 1.7478,               0.008449,               0.008449,               0.008449
                     49,                   1.55,                 1.2345,                 1.6295,                0.69506,                0.54707,                0.58649,                0.30633,                 1.5589,                 1.1118,                 1.7402,               0.008416,               0.008416,               0.008416
