                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.8588,                 1.6046,                 1.7399,                0.45921,                0.42083,                0.40082,                0.18437,                 1.8609,                 1.4786,                 1.7437,              6.832e-05,              6.832e-05,              6.832e-05
                     34,                 1.8397,                 1.5957,                  1.732,                0.47172,                0.41368,                 0.3976,                0.18168,                 1.8879,                 1.4884,                 1.7569,              6.733e-05,              6.733e-05,              6.733e-05
                     35,                 1.8417,                 1.5916,                 1.7293,                0.47011,                0.39249,                0.38746,                0.17784,                 1.8852,                 1.5277,                 1.7424,              6.634e-05,              6.634e-05,              6.634e-05
                     36,                 1.8478,                 1.6007,                 1.7254,                0.46045,                0.40935,                0.40448,                0.18796,                  1.847,                 1.4737,                 1.7237,              6.535e-05,              6.535e-05,              6.535e-05
                     37,                 1.8353,                 1.5864,                 1.7241,                0.46603,                 0.4073,                0.40102,                0.18194,                 1.8661,                 1.5163,                 1.7316,              6.436e-05,              6.436e-05,              6.436e-05
                     38,                 1.8431,                 1.5927,                 1.7267,                0.49533,                0.42657,                0.41773,                 0.1953,                 1.8475,                 1.4545,                 1.7196,              6.337e-05,              6.337e-05,              6.337e-05
                     39,                 1.8339,                 1.5794,                 1.7255,                0.50494,                 0.4294,                0.43182,                 0.2024,                 1.8262,                 1.4176,                 1.7212,              6.238e-05,              6.238e-05,              6.238e-05
                     40,                 1.8314,                 1.5773,                 1.7166,                0.48354,                0.42611,                0.42135,                 0.1998,                 1.8178,                 1.4134,                 1.7022,              6.139e-05,              6.139e-05,              6.139e-05
                     41,                 1.8175,                 1.5615,                 1.7053,                0.48724,                 0.4394,                0.42747,                0.20077,                 1.8271,                 1.4191,                 1.7147,               6.04e-05,               6.04e-05,               6.04e-05
                     42,                 1.8196,                  1.564,                 1.7029,                0.47893,                0.42575,                0.41676,                0.19635,                  1.814,                 1.4412,                 1.7054,              5.941e-05,              5.941e-05,              5.941e-05
                     43,                 1.8038,                 1.5445,                 1.7006,                0.48978,                  0.422,                0.42265,                0.19659,                 1.8333,                 1.4409,                  1.718,              5.842e-05,              5.842e-05,              5.842e-05
                     44,                 1.8141,                 1.5672,                 1.7086,                 0.4966,                0.43209,                0.43141,                0.20438,                 1.8046,                 1.4163,                 1.6944,              5.743e-05,              5.743e-05,              5.743e-05
                     45,                 1.8079,                 1.5531,                 1.6997,                0.53989,                0.43935,                0.44429,                0.21075,                 1.8039,                 1.4005,                 1.7051,              5.644e-05,              5.644e-05,              5.644e-05
                     46,                 1.7984,                 1.5437,                  1.697,                0.50784,                0.42464,                0.42981,                0.20884,                 1.7967,                 1.4096,                 1.6926,              5.545e-05,              5.545e-05,              5.545e-05
                     47,                 1.8014,                 1.5493,                 1.6935,                0.49901,                0.44062,                0.42971,                0.20524,                 1.8054,                 1.4084,                 1.6984,              5.446e-05,              5.446e-05,              5.446e-05
                     48,                 1.7924,                 1.5487,                 1.6917,                0.52738,                0.44585,                0.43993,                0.20751,                 1.8165,                 1.4056,                 1.7004,              5.347e-05,              5.347e-05,              5.347e-05
                     49,                 1.7871,                 1.5319,                  1.681,                0.52138,                0.44137,                0.44656,                  0.215,                 1.7802,                 1.3664,                 1.6845,              5.248e-05,              5.248e-05,              5.248e-05
                     50,                 1.7978,                 1.5335,                 1.6884,                0.48661,                0.43415,                0.43271,                0.20302,                 1.8259,                 1.4219,                 1.7013,              5.149e-05,              5.149e-05,              5.149e-05
                     51,                 1.7902,                 1.5238,                 1.6868,                0.52108,                0.43469,                0.44558,                0.21306,                 1.8009,                 1.3759,                 1.6874,               5.05e-05,               5.05e-05,               5.05e-05
                     52,                 1.7815,                 1.5186,                 1.6781,                0.52353,                0.43787,                 0.4444,                0.21157,                 1.8048,                 1.3874,                  1.688,              4.951e-05,              4.951e-05,              4.951e-05
                     53,                 1.7757,                 1.5084,                  1.676,                0.53562,                0.44559,                0.45132,                0.21721,                 1.7766,                 1.3729,                 1.6802,              4.852e-05,              4.852e-05,              4.852e-05
                     54,                 1.7715,                 1.5276,                 1.6814,                 0.5292,                0.44411,                0.44616,                0.21386,                 1.7933,                 1.3829,                 1.6865,              4.753e-05,              4.753e-05,              4.753e-05
                     55,                  1.774,                 1.5124,                 1.6771,                0.52489,                0.45159,                0.45079,                 0.2175,                 1.7731,                 1.3683,                 1.6799,              4.654e-05,              4.654e-05,              4.654e-05
                     56,                 1.7798,                 1.5201,                 1.6761,                0.51642,                0.44098,                  0.445,                0.21123,                 1.8013,                 1.3841,                 1.6866,              4.555e-05,              4.555e-05,              4.555e-05
                     57,                 1.7644,                 1.5017,                 1.6741,                0.51712,                0.44162,                0.44917,                0.21573,                 1.7831,                 1.3826,                 1.6801,              4.456e-05,              4.456e-05,              4.456e-05
                     58,                 1.7612,                 1.4966,                 1.6715,                0.52906,                0.45575,                0.46053,                0.22266,                 1.7583,                 1.3433,                 1.6712,              4.357e-05,              4.357e-05,              4.357e-05
                     59,                 1.7586,                 1.5052,                 1.6685,                0.52047,                0.44629,                0.45177,                0.21914,                 1.7651,                 1.3608,                 1.6676,              4.258e-05,              4.258e-05,              4.258e-05
                     60,                  1.757,                 1.4972,                 1.6641,                0.54267,                0.45492,                0.45846,                0.22434,                 1.7503,                 1.3435,                 1.6586,              4.159e-05,              4.159e-05,              4.159e-05
                     61,                 1.7615,                 1.5018,                 1.6652,                0.52279,                0.45817,                0.46105,                0.22516,                 1.7414,                 1.3425,                 1.6604,               4.06e-05,               4.06e-05,               4.06e-05
                     62,                 1.7507,                 1.4947,                 1.6648,                0.53407,                0.45662,                0.46494,                0.22798,                 1.7324,                 1.3291,                 1.6548,              3.961e-05,              3.961e-05,              3.961e-05
